,Cancer_Q
19467,What age does ovarian cancer strike?
19468,What are common ovarian cancer symptoms?
19469,What are common symptoms of ovarian cancer?
19470,What are ovarian cancer symptoms?
19471,What are ovarian cancer's most common signs?
19472,What are some symptoms of Ovarian Cancer?
19473,What are some symptoms of ovarian cancer?
19474,What are symptoms for ovarian cancer?
19475,What are symptoms of ovarian cancer?
19476,What are symptoms of ovarian cysts/cancer?
19477,What are the causes of endometriosis to develop into cancer?
19478,What are the causes of ovarian cancer and is it very treatable?
19479,What are the causes of ovarian cancer?
19480,What are the chances of a 18 year old having ovarian cancer?
19481,What are the chances of a 29 year old having ovarian cancer?
19482,What are the chances of recovering from secondary ovarian cancer?
19483,What are the chances of recurrence of ovarian cancer?
19484,What are the possibilities u can die from ovarian cancer?
19485,What are the signs of an ovarian cyst or ovarian cancer?
19486,What are the stages of ovarian cancer?
19487,What are the symptoms of cervical and ovarian cancer?
19488,What are the symptoms of hereditary ovarian cancer?
19489,What are the symptoms of ovarian cancer vs. Those for ovarian cysts?
19490,What are the tests for hereditary ovarian cancer?
19491,What are the tests for ovarian cancer?
19492,What can cause bilateral ovary enlargement other than cancer?
19493,What can the ovaries have to do with cancer?
19494,What can you do to protect yourself from ovarian cancer?
19495,What can you tell me about ovarian and breat cancer with ascites?
19496,What caused ovarian cancer?
19497,What could lead to bloating with ovarian cancer?
19498,What is 49cc ovarian volume?
19499,What is 49cc ovarian volume? Is this a sign of cancer
19500,What is Overian cancer?
19501,What is frank malignancy on ovary or or borderline is cancer?
19502,What is ovarian cancer?
19503,"What is stage 3 ovarian cancer, how do you stage ovarian cancer?"
19504,What is the best screening for ovarian cancer?
19505,What is the chance of having ovarian cancer?
19506,What is the chance of having ovarian cancer?
19507,What is the definition or description of: Hereditary ovarian cancer?
19508,What is the definition or description of: ovarian cancer?
19509,What is the difference between cervical and ovarian cancer?
19510,"What is the difference between ovarian cysts, tumors and cancer?"
19511,What is the odds of a 41 year old to have ovarian camcer?
19512,What is the outlook for ovarian cancer?
19513,What is the probability that a complex ovarian mass could be cancer?
19514,What is the probablity of a 15 year old getting ovarian cancer?
19515,What is the prognosis with ovarian cancer and ascites?
19516,What is the symtoms of ovarian cancer?
19517,What is the treatment for hereditary ovarian cancer?
19518,What is the treatment for ovarian cancer?
19519,What kind of symptoms did gilda radners have during ovarian cancer?
19520,What to do after diagnosis of hypermenorrhea and ovarian tumor?
19521,When should ovarian cancer be detected?
19522,When there's good reason for my doctore to suspect ovarian cancer?
19523,Where are the ovaries? What exactly is ovarian cancer?
19524,Where does ovarian cancer commonly metastasize to?
19525,Where does ovarian cancer spread to?
19526,Which are the symptoms of ovarian cancer?
19527,Who is at risk for ovarian cancer?
19528,Who should do a pelvic exenteration if I am told it should be done for ovarian cancer?
19529,Why does ovarian cancer cause bloating?
19530,Why does ovarian cancer cause heartburn?
19531,Why should I be concerned about ovarian cancer?
19532,Why/how does ovarian cancer cause bloating?
19533,Will an uncomplicated abortion cause ovarian cancer?
19534,Will endometriosis turn into cancer? Is there any risk that the cysts or adhesions I have because of endometriosis are cancerous?  .
19535,Will pcod cause cancer?
19536,"38 yo, BRCA I & II negative, sister died from stage 4 breast cancer. intermittent occassional, burning pain top right breast."
19537,"4 weeks into chemotherapy for all leukemia, have insane knee pains in bed. any advise please?"
19538,"After chemotherapy sessions for cervical cancer, pain in bones is normal or not?"
19539,An online website says that back pain is a major symptom of cancer. Some adults over the age of 55 have some degree of pain. Do they all have cancer?
19540,Are all tumor that come back metastatic ones?
19541,Are cancer tumors in the neck hard or soft most of the time and do cancer tumors keep growing if left untreated?
19542,Are head and neck cancers always terminal?
19543,Are prostate problems/ prostate cancer typically associated with rectal pain? Butthole aches/slight pain.
19544,Arm cancer how do you know you have it?
19545,"Back cracking a lot, do I have cancer?"
19546,Best pain medicine for pancreatic cancer?
19547,"Bone cancer that has spread to lungs. Would symtoms be severe at this point? Waiting for scan for spine pain, now developing cough, fatgue, worse pain."
19548,Bone inside butt left right painful + lower back bone pain. What are my chances of bone cancer? 61yrs of age. Prostate cancer radition 2yrs ago. Psa. 35
19549,"Breast cancer and uterine cancer in my family. I have back/leg with ovarian volume at 49ml, 19mmthicken endomet wall. Constipation and pelvic pain?"
19550,Breast cancer stage3 I have occassional pain on my waist it occurs a liittle bit and then it fades. Is it a sign of bone cancer im 47 yrs old?
19551,Can  breast cancer  cause upper back pain?
19552,Can I have another surgery if my esophageal cancer has come back and spread?
19553,Can I have another surgery if my lung cancer comes back?
19554,Can a oesophageal ulcer turn in to cancer without treatment IV been having a lot of middle chest pain what are the symptoms of oesophageal cancer?
19555,Can a sore coccyx be a sign of ovarian cancer?
19556,Can a sore tailbone be cancer?
19557,Can advanced cervical cancer cause DVT s in legs and groin?
19558,Can breast cancer cause upper back pain?
19559,Can chemotherapy hurt you more than cancer left untreated?
19560,Can chronic pain in your ankle mean you have cancer?
19561,Can colon cancer cause pain in the buttocks?
19562,Can colon cancer stop causing pain at a given spot and start causing pain at another spot? Will local pain at cancer location increase with time?
19563,Can doctors tell me what does pain in muscle behind a (potential) basal cell skin cancer indicate?
19564,Can groin pain be linked to ovararian cancer? What is the cause of groin pain?
19565,Can lung cancer display itching shoulder blades?
19566,"Can non aggressive breast cancer metastasize to bone? I have er/pr+, her2- breast cancer w tumors in spine and rib. Dr unsure both are related."
19567,Can nutcracker syn be caused by a hysterectomy? Aggravated by a history of cancer?
19568,Can ovarian tumor cause a rib fracture?
19569,"Can pain caused by colon cancer switch locations? For some time period its in the sigmoid, then in transverse, etc. (pain is felt only at one part)?"
19570,Can severe posterior nosebleeds be a sign of lung cancer?
19571,Can sore/tenderness in the tailbone area when sitting in certain positions be a sign of colorectal cancer?
19572,Can symptoms of pancoast tumor spread to the feet and the other arm?
19573,Can tailbone pain and colon cancer be related?
19574,Can tailbone pain be a sign of colon cancer ?
19575,Can uterine cancer cause pain from groin to knee?
19576,Can you please tell me why god allows my husband to suffer horrible pain from lung cancer and cancerous tumors on his spine?
19577,Can you see from a colonoscopy if there is a cancer in the bone in the back?
19578,Can you tell me about rectal bowel cancer surgery and been left with pain because of nerve damage?
19579,Can you tell me if aspirin is taken during terminal cancer pains?
19580,Can you tell me if there are types of cancers that do not cause pain until it is too late?
19581,Can you tell me the symptoms of bone cancer in the back?
19582,Can you tell me what is the best treatment for ewing sarcoma cancer affecting upper limb of left hand?
19583,"Can you tell me what it is like with uterine cancer, could I not have pain before?"
19584,Can your colon cancer  come back after 5 years of being in remission?
19585,Chemotherapy. How do you handle the pain and. Discomfort of chemo?
19586,"Could I have gotten a GI or lymphoma cancer from 3 abdominal, 1 head and 1 chest CT from '09 until '12?"
19587,Could back pain be lung cancer if I don't have any other symptoms?
19588,Could intermittent stomach problems for a month be caused by advanced testicular cancer?
19589,Could left hip pain indicate colon cancer or something else?
19590,Could neuroblastoma cause pain?
19591,Could ovarian cancer cause a burning type pain that only occurs during ovulation time?
19592,Could slight breast pain mean cancer or muscle strain?
19593,Could their be cancer in your back?
19594,Could you please tell me where is leg pain in regard to ovarian cancer?
19595,"Could you tell me if someone has osteosarcoma in their thigh and it spreads to a lung, what happens?"
19596,Could you tell me what are really early signs of bone cancer in leg?
19597,Could you tell me what happens when cancer moves from breast to bone and then head?
19598,"Diagnosed with breast cancer in the fall.  Partial mas. In oct & 1/2 through radiation.  Armpit just strarted swelling, hurting & chest pain.  Worry?"
19599,Do people diagnosed with endometrial cancer have back aches and headaches?
19600,Do people with sarcoma have a lot of pain?
19601,Do people with tongue cancer have a lot of pain?
19602,Doc said epidodimitia when I went after a month of antibiotics still in pain worried about cancer would a doc def spot cancer feelin down their.
19603,Does a sore groin mean cancer?
19604,Does breast cancer usually cause pain anywhere?
19605,Does cancer hurt? Any pain at all just from the cancer itself?
19606,Does cancer that has been in remission always come back?
19607,Does cll cause tumors? My cousins has tumors in his chest and in his neck. Sometimes he can't hear well out of his left ear.
19608,Does early symptoms of bladder cancer is pain in the back?
19609,Does middle or thoracic back pain usually mean cancer or an infection?
19610,Does pancreatic cancer cause muscle spasm type back pain?
19611,Does persistent thoracic spine pain worse at night in a cancer patient in remission with normal cancer marker & ESR still need urgent imaging workup?
19612,Does your back hurt if you have colon cancer?
19613,Dull constant ache in leg- cervical cancer?
19614,"Experiencing joint, bone and muscle pain 7 months after thyroid cancer DX. Fvptc, multifocal with capsular invasion and classic ptc. Worrisome?"
19615,Father diagnosed with carcinoma. Swollen abdominal nodes but not lymphoma. Further testing tmmrow. Probable cancer? No abdml pain or bloody stool.
19616,For my discomfort and my enlarged ovary and how can they know for sure it isnt cancer?
19617,For what length of time can you have lung cancer before you start to feel symptoms?
19618,"Found a lump on my l side rib cage in the middle, I have vhl a history of islet cell cancer of the pancreas both adrenals don't function, is this lump bad?"
19619,"Friend, Pan can stage 4. No chemo for 3 months because of complications. Pain, bowel obstruction, pneumonia now. Will the cancer start growing again?"
19620,Gurgling type feeling and intermittent pains in ovarian area... Gas? Abnormal pap in march squamous intraepithelial lesions atill need biopsy 25yr old
19621,Had full hysterectomy for cervical cancer no cemo or radiotherapy due to lupus and on methotrexate will my cancer come back?
19622,Had lumpectomy radiotherapy for b cancer no sign of spread is it poss it could have spread to lungs bone I have a lot of pain in clavical & shoulder
19623,Had lung lobectomy but cancer is in lymph node and chest wall. Now I have terrible nerve damage pain all the time. What can be done. ?
19624,"Had thyroid cancer and removal 3 years ago and didn't have to do any radiation, can it come back? Im worried I have a 2 year old and one on the way"
19625,Have ewing sarcoma. Is the pain constant?
19626,Have had a pain way down in pelvis for over a year. If it was cancer wouldnt something already happen?
19627,Have had multiple chest xrays. How much is this likely to increase my cancer risk? What kinds of cancer would be associated with chest xrays?
19628,Have shoulder aches for a few months . Could it be lung cancer? Shoulder isn't painful. I'm a non smoker
19629,Having pains up my sides. Was wondering if cervical cancer can grow from the inside out?
19630,He is in stage 4 prostrate cancer with extreme pain especially around the pelvic area. Symptomatic treatment is on. Is this normal?
19631,Hello I am a 28 year old female with a history of smoking for 7 years I am having terrible upper mid back pain now for a month... Lung cancer?
19632,Hello. My mother in law is feeling pain in her abdominal stomach lately after brachy therapy what is that? She has cervical cancer 3b
19633,Hi doc what to do when pain in cancer?
19634,How are back and shoulder pain related to lung cancer?
19635,How bad is pain in myeloma?
19636,How badly does pancreatic cancer hurt?
19637,How can we help my mom who is 78 and has advanced ovarian cancer and wants to have pain relief?
19638,How can you describe excruciating leg pain in a cervical cancer. Does all leg pain is associated with cervical cancer?
19639,How can you distinguish between the symptoms of right and left colon cancer?
19640,How can you relieve pain after getting cervical cancer jab?
19641,How can you relieve pain of cervical cancer jab?
19642,How common is leg pain with cervical cancer?
19643,How common is osteosarcoma? I've had pain in my pelvic region/hip for a while and i'm worried. Is it likely to be osteosarcoma or something else?
19644,How do I know if I have cancer on my head?
19645,How do I know my back pain isnt pancreatic cancer?
19646,How do I tell the difference between ewing's sarcoma leg pains and growing pains?
19647,How do you feel if you have osteosarcoma?
19648,How does back pain with lung cancer feel?
19649,How does esophageal cancer cause back pain?
19650,How frequently does a spot compression lead to a breast cancer diagnosis?
19651,How is cancer pain assessed?
19652,How likely is ewings sarcoma coming back after five years?
19653,"How much pain is normal after a lung biopsy? I had a biopsy more than a week ago, and i’m still having pain. Is this normal?"
19654,How much pain should I expect from esophageal cancer?
19655,"How often does bladder cancer come back? After successful bladder cancer treatment, is it common for it to come back? Can it grow back as a metastatic cancer even after having your whole bladder removed?"
19656,How often should a port in the chest  be  flushed for cancer?
19657,How to lift some one in advance stage of prostate cancer fom a bed who is in pain?
19658,How typical is cartilage cancer?
19659,I  hjave stage 4 breast cancer. Metasatic cancer. I have a small swell on my neck also when i lift my arm i i also have a sore type pain .?
19660,I am a 66 year old man had radiation for prostate cancer completed oct. I notice my lower abdomen is hard. No pain or other symptoms.
19661,I am a breast cancer survivor and am having increasing pain in my shoulder and hip bone on my affected side I had a double mastectomy 2011?
19662,I am a breast cancer survivor.  I completed radiation in December and started Tamoxifen. I have had hip pain along the iliac crest for a few weeks.  M?
19663,I am having a critical pain in mine abdoman so please can u tell me its NT the synmptom of cancer?
19664,I am having regular sharp breast pains. Seem to be related in location to a benign tumor I had 4 yrs ago. Can someone suggest what I should do?
19665,"I found out that my grandma has a mass located on her spine, lung, and stomach. It started in the lung and progressed from there. What does she have?"
19666,I had a full histerectomy ten years ago and now im suffering from severe pain in my breast is this cancer or what could it be?
19667,I had a full histerectomy ten years ago and now im suffering from severe pain in my breast is this cancer?
19668,I had a sarcoma tumor removed from my left leg 8 months ago and i still have pain why is that?
19669,"I had cancerous calcification on my right breasts. I also had a lumpectomy and radiation, but why is the cancer coming back?"
19670,"I had cervical cancer 5 years ago , and had a total hysterectomy, i now have a lump on my jaw below  my right earlobe , could this be cancer as well ?"
19671,I had internal radiation for prostate cancer three years ago. Since the day I had the first of two surgeries I  had pain in both hips.  All the doctor?
19672,I had ovarian cancer a year ago. I have been healthy since but I am having pressure and pain in my pelvic region for a week could it be cyst or cancer?
19673,"I had stage 1 kidney cancer, what are the chances of it coming back?"
19674,I had synovial sarcoma can it spread to your ovaries I have already had surgery and chemo. But they only scan my lungs to see if it has spread every 4 months. I have pain in my left and right abdominal area have to pee all the time. Bloated. I have had a
19675,I had thyroidectomy for cancer last month and now have sharp pains in my thigh. Are these connected?
19676,I have 2 uncles diagnosed with pancreatic cancer in their 60s. I am 28 and my back has been hurting. Doctor says it is muscular but could it be cancer?
19677,I have a history of metastatic breast cancer to the bone. Recently I have had pain under the reconstructed breast and my shoulder blade when breathig?
19678,"I have a pain in my sternum, couldit be a tumor or bone cancer?"
19679,I have a tumor on my left breast and it doesn`t hurt. Does that mean that I have cancer?
19680,I have acute pain shooting up my leg. I am terrified it is bone cancer. What could it be?
19681,I have bladder cancer and have recently been having a lot of back pain around kidneys. Is it possible the cancer has spread. No insurance to see doctor?
19682,I have chronic pancreatitus and I have had a gist tumor. Last 8 months I have been having a lot of stomach pain and painful blisters pn buttocks?
19683,I have kidney cancer and i have been having extreme back ache in the lower part of my back  is it from the cancer tumor is 2.9 cm and ?
19684,"I have lowgrade lymphomas and have tumors all over. The one next to pancreas is causing most pain, can it be surgicalyremoved or is chemotherapy better?"
19685,I have pain in my bowel which is sore all the time. I have had ovarian cancer?
19686,I have pain in my coccyx area whenever I sit down. Been to doctors and they won't X-ray me. Worried incase it's cancer or tumour?
19687,I have pain near on my hips and back of it is that possible I have cervical cancer or kidney failure?
19688,"I have psa 6.5 also sharp to severe anal pain not due back to hospital for a month, is this a sign of prostate cancer. Age 50?"
19689,I have sharp stabbing pain in my liver. Doctors just found a mass in my liver that's a benign tumor. Should a benign tumor be causing so much pain?
19690,"I have stage IV colon cancer. Pain in my back, under my ribs in the front, my spine and my chest. Have ostomy tonight had blood in mucus discharge?"
19691,I have this horrible back pain and I'm afraid it might have to do with some type of cancer... I need help?
19692,I haven swollen tumours on my left forearm it does not cause any pain...Is it cancer...It does not cause ani pain...?
19693,I recently had a colon resection for stage 0 colon cancer. It was an open surgery w a large scar. I am experiencing dizziness when I stand from siting?
19694,I think I have have a disease or cancer in my bones that is causing me to have this terrible posture?
19695,I think I had a scc related to hpv it was on my lower thigh it was there for ten years and regressed on its own. Could it have spread?
19696,I was informed my cancer has returned and spread to my liver.  Have been having chest pains. Could it be caused by the lesions in my liver?
19697,I was recently informed my cancer has returned and spread to my liver. Have been having lt/rt chest pains. Could it be caused by lesions in my liver?
19698,"I'm 20yo,with no family history of colon cancer,for over a month,I feel like there is a little thing in my left side near my hip bone,is it cancer?"
19699,I'm stage 4 Breast cancer. Been having pain in ribs/ shoulder for 2 mths. Also cancer antigen 27. 29 blood test is back above normal. Is cancer back?
19700,"I've been getting stomach aches for no reason, that last a while. Could it be ovarian cancer?"
19701,"I've been having a lot of firey pain in my left breast. I read on a cancer page.. that it can be an indication of breat cancer, can it really?"
19702,"I've been having really bad intestinal pain since april last year 2013, so approx. 9 months, if i had colon cancer, would i be dead by now?"
19703,"I've had mris and cts of my back, would they have shown infection, cancer, kidney problems, inflammation?"
19704,If I have cancer in both breasts my sternum and my 10th rib and was told it is at least stage 3 does that make it terminal ?
19705,"If I have pain in my abdomen, dowd that mean I might have pancreatic cancer?"
19706,"If breast cancer were to spread to an ovary, would it likely also go to the lungs or liver or bones along the way?"
19707,If i had a spinal tumour or  mets would  the pain be getting worse or would it fluctuate?
19708,"If recurred cervix cancer is treated with chemo, after how much time there is possibilty of cancer coming back or it can never come back?"
19709,"If she is being referred to a surgeon, does that mean she has breast cancer?"
19710,"If someone has osteosarcoma in their thigh and it spreads to a lung, what happens? Is it too late then?"
19711,"If someone has osteosarcoma in their thigh and it spreads to a lung, what sort of complications can occur?"
19712,If you had testicular cancer is there usually not kind of irritation or is it common to not have pain?
19713,"In recurring ovarian cancer, is a painful tail bone a symptom?"
19714,In remission from follicular lymphoma these polyps were removed I'm in pain as I was before I was diagnosed can it be back?
19715,"In stage 4 ovarian cancer, what does it usually mean if your ca-125 goes from 600 to 222 then back up to 350?"
19716,Is abdominal pain caused by kaposi's sarcoma?
19717,Is back fron lung cancer constant or intermittent?
19718,Is back pain a symptom of colon cancer?
19719,Is chest pain a common symptom of lung cancer if cancer is causing pain how big would a tumor have to be and what is the likelihood of showing on xray?
19720,Is diareshha and lumps on sholders a cancer symptom?
19721,Is dull pain in colon cancerous?
19722,Is head and neck cancer hereditary?
19723,Is it common to have muscle/joint problems after having radiotherapy for breast cancer?
19724,Is it possible for back pain be secondary cancer?
19725,Is it true that there is a pillow that helps relive the pain after breast cancer surgery?
19726,Is jaw ache a sign of lung cancer?
19727,Is lung cancer in your neck and can you feel it.
19728,Is sacrolic joint pain a sign of ovarian cancer?
19729,Is there any correlation between hand pain and ovarian cancer?
19730,Is upper back pain considered one of the signs of breast cancer?
19731,Is water on the knee a sign of cancer?
19732,Knee pain and scared of bone cancer. Had cbc and other blood work and was all perfect. Wouldn't my labs be off if I had cancer in my knee?
19733,Left ovary seen by scan as enlarged and swollen! No further advice given! Told it's normal. Immense pains during ovulation! Mum had cervical cancer. ?
19734,Looking for help for pain in leg muscle back of knee after radiation chemo for anal rectum cancer?
19735,Lower left side pain which begins when lies down. 64yo clear cell ovarian cancer survivor large tumor removed 3 1/2 yrs frequent surgeon & oncologist ?
19736,Many father has colon cancer spread to the liver and now both legs are swollen with fluid to the hips. How to we relieve this fluid?
19737,"Middle back pain for two years. If it was lung cancer, would other symptoms be present by now?"
19738,Mom has advanced ovarian cancer and just wants to have pain relief. How can we prepare?
19739,Mom has late stage 4 cancer. Lung camcer that went to bones. What symptoms can I look for to indicate when the end is drawing near? Does pain go away?
19740,Mum as lung cancer of left lung shes pallative care n now having bad pain on her right side not were the tumor is wht can this be she is on oramorph?
19741,My 63 yo mom has stomach pain after every meal. She had part of her colon removed due to stage 4 colon cancer yrs ago. Why does she get stomach pain?
19742,My acoustic neuroma has come back. Is it possible that it could be cancer this time?
19743,"My auntie has kidney, lung and hip cancer, what is her length of time left, is it months or years ?"
19744,"My brother was offered an intrathecal pain pump for germ cell cancer with mets in his pelvis, back, spine, lung, and liver.  What are pros and cons?"
19745,"My dad has a gene marker for cervical cancer, I've had an IUD in past and and I've had constant pelvic pain worse when I cough for a yearcould I have it?"
19746,"My friend diagnose with ovarian tumor and pelvic cancer , are there any ways to ease up her pain that she's been going through. ?"
19747,My friend had 6 chemotherapy sessions for cervical cancer. Why is she having severe pain in her bones?
19748,"My friend had diagnose ovary tumor , these past few days she been suffering stomach pain , does the cancer have anything to do with it ?"
19749,My girlfriend has a large cancerous mass sitting in her chest and its putting pressure on her heart and lungs.  any idea what type cancer this is?
19750,My grandfather is in the advance stages of lung cancer and is experiencing excruciating pain in his hip at the moment. Are these linked?
19751,"My grandma has metastatic breast cancer in her ribs & spine, she keeps getting these hot flushes. Causes?"
19752,My grandmother has lung cancer and it's spreading down her arm she's always in pain but is only prescribe tramadol. Is this normal?
19753,My husband had oesophogal cancer six years ago and had radiotherapy and chemo ..He has had a sharp pain in his neck and small amount of bleeding?
19754,My mom has metastasis. Marrowaged52. I m 24 and have lumps in both breasts of abt 1cm. I feel itching pinches upper back pain. Am I at risk of cancer.
19755,My mom is complaining of lower back pain. She has had cancer in lung and brain both removed. Should I worry?
19756,"My mom, ovarian cancer, stage iiib, had the second surgery, the abdomen is hard and heavy seems, she felt uncomfortable, what is symptomatic?"
19757,My mother has kidney cancer which spread to the bone causing her arm to break. Now there's tumours on her hip and spine. What's her survival rate plea?
19758,My mother in law is experiencing pain in her abnominal part(stomach)will there any chance that cancer is spreading on her stomach? Stage 3b cervical
19759,My pain m. Dr. Suspects that  my endometriosis may be growing on my spine . I'm 34 yrs old with stage 4. How would this be diagnosed and treated?
19760,My sister in law has thyroid cancer which has spread to her bones and spine also she has cervical cancer and uterine cancer we want to know the rough time scale we have left for her?
19761,"Not a pulled muscle or anything. I'm scared symptoms I have are knee cancer, osteosarcoma. Should I see a doctor?"
19762,Once in a few months I experience tingling sharp pain in my perineum. Does it already mean I have prostate cancer?
19763,Ovarian or pancreatic cancer--whats worse?
19764,Pain in hips since radiation and chemotherapy for cervical cancer; does it go away?
19765,Pain&cyst in rt hip also had breast cancer is this anything to woot about?
19766,Pain/aches around my knee area and rib. Scared i might have bone cancer! what are my chances of getting any type of cancer?
19767,"Painful coccyx getting worse, I'm scared it might be a tumor or cancer?"
19768,"Pancrearic cancer diagnosed 9 months ago severe pain now, is it near the end?"
19769,Please help! what happens when cancer goes to the bones?
19770,Please suggest what type of cancers can cause back pain?
19771,"Progressing toward stomach cancer (irritation to metaplasia, metapl to cancer), is it possible to paradoxically feel better than before at any stage?"
19772,Should I be worried about colon cancer or something else if I have a intermittent painless weak?
19773,Should I feel pain during the early stages of breast cancer?
19774,"Some said, having a foot massage during menses may cause stomach cancer?"
19775,Sometimes i've pain in colon what do u advice me ? Don't say  go for colon  therapy
19776,Sudden stinging pain in thigh+pelvis after standing for about 5 min. Cancer doctor said not cancer. MD tested not endometriosis. What now?
19777,Sudden very sharp anal pain. Lasts only a few seconds. Cancer? 25 year old male.
19778,There is a solitary focus of increased activity in left lateral rib. I have head and neck cancer. Is it possible that my cancer has spread to my bone?
19779,"Was diagnosed with early stages of cervical cancer. I'm 19, advised to do a surgery this month coming. I have a deep pain during sex almost in stomach?"
19780,"What are common causes of bone pain, besides fractures? Can there be simple explanation besides cancers?"
19781,What are other problems and pains that arise with cancers (particularly bone cancer)?
19782,What are signs of cancer in the back?
19783,What are the chances of a 23yo female to have bone cancer on the side of her foot?
19784,What are the chances of recovering from prostate cancer if it's spread to the veins in your legs?
19785,"What are the chances that mid-back pain when you sit and move certain ways is lung cancer? Or does Cancer cause dull constant pain, not just when sit?"
19786,What are the most common symptoms of bladder cancer amd cervic cancer? I read leg pain is a symptom of cc and I have leg pain.. ..Thank you.
19787,"What are the symptoms of bone cancer, from spread of prostate cancer. Pain in lower body bone, or upper and lower body bone? What would be 1st sign?"
19788,What are the symptoms of bone cancers besides pain?
19789,What are the types of head and neck cancer?
19790,What can I do about pain from cancer?
19791,What can I do to control my pain after lung cancer surgery?
19792,What can be done about cancer pain?
19793,What cancer can form on the ribcage?
19794,"What causes pain in the breast, back and shoulder? Is the most likely cause cancer if i know i didn't do anything to hurt it? Cancer?"
19795,"What could be the cause of hard, swollen & chronic chest pain following mastectomy & radiotherapy treatments. Been on chemo & pain killers still same?"
19796,What do doctors think is the top pain medicine for bone cancer?
19797,"What do you advise if I had my right kidney removed from cancer in 2007, now I have a mass in my left kidney, if it is cancer?"
19798,What does back pain feel like if you have cancer? I have had MRI didn't show any mass or tumors
19799,What does pancreatic cancer pain feel like?
19800,What does the pain from bone metastases feel like what other symptoms are there and any specific to metastases from breast cancer?
19801,What happens when cancer spreads to the spine?
19802,What is the best way to treat lower back pain from sciatica due to a tumor in the lumbar area? On tarceva (erlotinib) for the cancer but how to stop the pain?
19803,What is the chance that bone pain is caused by ewing's sarcoma? What are the usual symptoms?
19804,What is the first symptom for bone cancer? Is it pain or the soreness comes first?
19805,What is the likelihood of head and neck cancers at age 18?
19806,What is the location typically of back pain associated with lung cancer?
19807,What is the probability of fighting off cancer after it has come back and spread.?
19808,What kind of leg pain can be  associated with ovarian cancer?
19809,What kind of leg pain is associated with cancer?
19810,What kind of leg pain is often associated with ovarian cancer?
19811,What might it mean if a stage 4 cancer patient with neck and oral cancer's face has a lot of pain and their temple has swollen?
19812,What to do if I have ovarian cancer and i feel so full all the time?
19813,"What to do if you have cancer of the vulva, go through the pain or disfigurement?"
19814,What type of lower extremity pain is associated with ovarian cancer?
19815,What will happen when cancer goes to the bones?
19816,What will happen when cancer goes to the bones?
19817,What would my mum do to lessen the pain on her left shoulder caused by radiation therapy? Coz she had thyroid papillary carcinoma in 1984.
19818,What would symptoms be if I had advanced pancreatic cancer in the tail and is it possible to feel the tumor in the LLQ of my back?
19819,Whats wrong with me? ive been having headaches everyday do i have cancer or a tumor?
19820,"When blood test and prostate exams comes back normal, could you still have bone cancer of the iliac?"
19821,"When is lower center back pain suspicious? Something serious like aneurysm, kidneys, cancer, tumor etc.  As opposed to something more benign."
19822,"When one has intermittent bone pain in the hips, could it be asymptom of prostate cancer, or must it be constant?"
19823,"When one has intermittent bone pain in the hips, is that a symptom of cancer?"
19824,"When one has intermittent bone pain in the hips, is that a symptom of prostate cancer?"
19825,"When person has hip and back pain and has prostate cancer, could it mean back and hip bones have malignancy?"
19826,Which is now the top post-op cancer pain medications?
19827,Which type of leg pain is associated with ovarian cancer?
19828,Which type of pain do cancer victims feel?
19829,Who can develope an abdomen tumor & why ?
19830,Who is at risk for head and neck cancer?
19831,Why addition 3 weeks radiation for recurrence of severe pelvic pain from s4 nsclc brain and bone mets? 9.5 months. Pain mess upped 50%
19832,Why can arm swelling and pain happen after breast cancer surgery?
19833,Why do I have pain in hip and leg with colon cancer?
19834,"Why does my left arm hurt so much after a lumpectomy a year ago, chemo and radiation? What can cause this?"
19835,Why does pancreatic  cancer cause back pain?
19836,Why pain in osteoblastoma occurs most at night?
19837,Will cancer and tumors hurt?
19838,Will chemo help pancoast tumor shoulder arm pain?
19839,Willneuroblastoma cause pain?
19840,Worried that my back shoulder neck aches is masking as breast cancer. Read story on woman who had those symptoms and had stage 4 mets breast cancer.
19841,Would physio help for pain in leg back of knee after radiation chemo for anal rectum cancer?
19842,"Would you recommend an intrathecal pain pump for my brother with germ cell cancer with mets to spine, pelvis, hip, back, lung, and liver? Pain's bad."
19843,What does mild precancerous mean? I'd it dangerous? Got my HPV tests results. A bit worried.
19844,two pap smear the past two years an it was low grade lesion when i was pregnant and now . i am worried that i get cervix cancer should i be worried?
19845,"14 months ago i had abnormal cells taken away from my cervix , when i went for my pap test on friday i was told that it had not healed why is this"
19846,"1st pap HPV Pos and LGSIL, Colpo Confirm, 2nd pap HPV Neg and LGSIL Pos, 3rd pap HPV Neg and AGSUS Pos. (@ 6mo intervals) Does this mean its  worse?"
19847,"2 LGSIL Positive Paps, 1 w/ HPV, 2nd w/o HPV, (6 mos between), last pap normal, when should I follow up to confirm everything settled? Symptoms worse."
19848,2 years ago i had an abnormal pap. I've since had 2 normal paps (last results this week) but this past month i've spotted after sex and running. Help!
19849,20 yrs ago I had warts that were treated now 2013 my pap came back abnormal and postive hpv. I'm wondering I have had normal paps why now abnormal?
19850,"2012 pap came back abnormal. I had colposcopy & all was fine. Had another pap done last week, came back w/ signs of cervical dysplaisa, do I have HPV?"
19851,21 weeks and I had a abnormal pap at 14 weeks. I have to get a colposcopy but afraid.I read it can cause cervical incompetence. Is it safe? Im worried
19852,"21 years old. Ascus , noted inflammation and rbc's in smear. Np stated treatment is to re pap in 6 months. Negative STD tests. Worry or not worry?"
